ID,Produto,Data de Fabricação,Data Entrega,Tempo entrega,Status,Motivo devolução,Tempo Resolução,Nível de Satisfação
0047,Estante,16/01/2020,21/01/2020,5,Aceito,,,4
0048,Tapete,16/01/2020,21/01/2020,5,Aceito,,,1
0049,Estante,16/01/2020,19/01/2020,3,Aceito,,,4
0050,Armário,16/01/2020,20/01/2020,4,Rejeitado,Insatisfação com Qualidade,1,2
0051,Quadro decorativo,16/01/2020,20/01/2020,4,Rejeitado,Insatisfação com Qualidade,3,2
0052,Mesa de jantar,17/01/2020,22/01/2020,5,Rejeitado,Não conformidade,3,1
0053,Cortina,17/01/2020,21/01/2020,4,Aceito,,,5
0054,Armário,17/01/2020,21/01/2020,4,Aceito,,,4
0055,Cadeira de escritório,17/01/2020,25/01/2020,8,Rejeitado,Defeito no produto,1,2
0056,Tapete,18/01/2020,22/01/2020,4,Aceito,,,4
0057,Quadro decorativo,18/01/2020,21/01/2020,3,Aceito,,,5
0058,Cadeira de escritório,18/01/2020,21/01/2020,3,Rejeitado,Não conformidade,4,2
0059,Tapete,18/01/2020,21/01/2020,3,Aceito,,,4
0060,Cama,19/01/2020,23/01/2020,4,Aceito,,,1
0061,Sofá,19/01/2020,25/01/2020,6,Rejeitado,Danificado durante o transporte,6,1
0062,Cortina,19/01/2020,23/01/2020,4,Aceito,,,4
0063,Cama,19/01/2020,21/01/2020,2,Rejeitado,Danificado durante o transporte,6,2
0064,Sofá,19/01/2020,25/01/2020,6,Aceito,,,1
0065,Armário,19/01/2020,20/01/2020,1,Aceito,,,5
0066,Cortina,20/01/2020,25/01/2020,5,Rejeitado,Danificado durante o transporte,1,1
0067,Quadro decorativo,20/01/2020,22/01/2020,2,Aceito,,,3
0068,Quadro decorativo,20/01/2020,23/01/2020,3,Aceito,,,4
0069,Tapete,20/01/2020,25/01/2020,5,Rejeitado,Defeito no produto,3,1
0070,Cama,20/01/2020,23/01/2020,3,Rejeitado,Defeito no produto,5,2
0071,Quadro decorativo,20/01/2020,23/01/2020,3,Aceito,,,2
0072,Cama,20/01/2020,25/01/2020,5,Aceito,,,5
0073,Sofá,21/01/2020,27/01/2020,6,Aceito,,,3
0074,Cadeira de escritório,22/01/2020,29/01/2020,7,Rejeitado,Defeito no produto,4,1
0075,Quadro decorativo,22/01/2020,29/01/2020,7,Rejeitado,Danificado durante o transporte,5,1
0076,Cama,22/01/2020,28/01/2020,6,Aceito,,,2
0077,Mesa de jantar,22/01/2020,26/01/2020,4,Aceito,,,5
0078,Mesa de jantar,22/01/2020,28/01/2020,6,Aceito,,,5
0079,Luminária,23/01/2020,26/01/2020,3,Rejeitado,Danificado durante o transporte,1,1
0080,Cama,23/01/2020,25/01/2020,2,Aceito,,,4
0081,Mesa de jantar,23/01/2020,26/01/2020,3,Rejeitado,Danificado durante o transporte,6,2
0082,Armário,23/01/2020,27/01/2020,4,Aceito,,,3
0083,Cadeira de escritório,23/01/2020,27/01/2020,4,Aceito,,,4
0084,Luminária,24/01/2020,28/01/2020,4,Aceito,,,4
0085,Mesa de jantar,24/01/2020,27/01/2020,3,Aceito,,,5
0086,Mesa de jantar,24/01/2020,26/01/2020,2,Aceito,,,4
0087,Cama,25/01/2020,29/01/2020,4,Rejeitado,Danificado durante o transporte,5,4
0088,Mesa de jantar,25/01/2020,28/01/2020,3,Aceito,,,5
0089,Tapete,25/01/2020,29/01/2020,4,Aceito,,,5
0090,Cadeira de escritório,25/01/2020,28/01/2020,3,Rejeitado,Não conformidade,1,2
0091,Cortina,25/01/2020,27/01/2020,2,Aceito,,,4
0092,Cama,25/01/2020,30/01/2020,5,Aceito,,,4
0093,Quadro decorativo,25/01/2020,27/01/2020,2,Rejeitado,Danificado durante o transporte,3,2
0094,Sofá,25/01/2020,31/01/2020,6,Aceito,,,5
0095,Mesa de jantar,25/01/2020,28/01/2020,3,Aceito,,,5
0096,Quadro decorativo,26/01/2020,01/02/2020,6,Aceito,,,5
0097,Estante,26/01/2020,27/01/2020,1,Aceito,,,3
0098,Sofá,26/01/2020,31/01/2020,5,Rejeitado,Insatisfação com Qualidade,2,2
0099,Tapete,26/01/2020,03/02/2020,8,Aceito,,,5
0100,Quadro decorativo,26/01/2020,29/01/2020,3,Aceito,,,5
0101,Sofá,26/01/2020,29/01/2020,3,Aceito,,,5
0102,Estante,26/01/2020,01/02/2020,6,Aceito,,,4
0103,Estante,26/01/2020,31/01/2020,5,Aceito,,,5
0104,Mesa de jantar,26/01/2020,30/01/2020,4,Aceito,,,5
0105,Cadeira de escritório,27/01/2020,29/01/2020,2,Aceito,,,3
0106,Estante,27/01/2020,01/02/2020,5,Aceito,,,5
0107,Luminária,27/01/2020,29/01/2020,2,Rejeitado,Danificado durante o transporte,6,1
0108,Tapete,27/01/2020,31/01/2020,4,Aceito,,,4
0109,Sofá,27/01/2020,29/01/2020,2,Rejeitado,Danificado durante o transporte,2,1
0110,Quadro decorativo,27/01/2020,28/01/2020,1,Aceito,,,5
0111,Quadro decorativo,27/01/2020,30/01/2020,3,Aceito,,,5
0112,Estante,27/01/2020,31/01/2020,4,Aceito,,,5
0113,Quadro decorativo,28/01/2020,30/01/2020,2,Aceito,,,4
0114,Luminária,28/01/2020,31/01/2020,3,Rejeitado,Danificado durante o transporte,5,3
0115,Cortina,28/01/2020,02/02/2020,5,Rejeitado,Danificado durante o transporte,1,4
0116,Mesa de jantar,28/01/2020,29/01/2020,1,Rejeitado,Danificado durante o transporte,3,2
0117,Luminária,28/01/2020,31/01/2020,3,Aceito,,,4
0118,Sofá,28/01/2020,01/02/2020,4,Aceito,,,5
0119,Armário,29/01/2020,02/02/2020,4,Aceito,,,5
0120,Luminária,29/01/2020,02/02/2020,4,Aceito,,,5
0121,Cortina,29/01/2020,02/02/2020,4,Rejeitado,Defeito no produto,6,4
0122,Luminária,29/01/2020,02/02/2020,4,Aceito,,,5
0123,Armário,29/01/2020,02/02/2020,4,Rejeitado,Defeito no produto,6,1
0124,Luminária,30/01/2020,05/02/2020,6,Rejeitado,Insatisfação com Qualidade,6,3
0125,Mesa de jantar,30/01/2020,02/02/2020,3,Aceito,,,4
0126,Estante,30/01/2020,03/02/2020,4,Aceito,,,5
0127,Quadro decorativo,31/01/2020,02/02/2020,2,Aceito,,,4
0128,Cama,31/01/2020,02/02/2020,2,Aceito,,,5
0129,Luminária,31/01/2020,07/02/2020,7,Aceito,,,5
0130,Cortina,31/01/2020,02/02/2020,2,Aceito,,,4
0131,Estante,31/01/2020,02/02/2020,2,Rejeitado,Insatisfação com Qualidade,6,2
0132,Sofá,31/01/2020,01/02/2020,1,Aceito,,,5
0133,Tapete,31/01/2020,07/02/2020,7,Aceito,,,5
0134,Cadeira de escritório,31/01/2020,02/02/2020,2,Aceito,,,3
0135,Luminária,01/02/2020,05/02/2020,4,Aceito,,,5
0136,Cama,01/02/2020,06/02/2020,5,Aceito,,,5
0137,Quadro decorativo,03/02/2020,07/02/2020,4,Aceito,,,2
0138,Estante,03/02/2020,11/02/2020,8,Aceito,,,3
0139,Tapete,04/02/2020,07/02/2020,3,Rejeitado,Danificado durante o transporte,2,2
0140,Cama,04/02/2020,05/02/2020,1,Rejeitado,Danificado durante o transporte,2,5
0141,Armário,04/02/2020,08/02/2020,4,Rejeitado,Danificado durante o transporte,6,2
0142,Tapete,05/02/2020,07/02/2020,2,Aceito,,,5
0143,Sofá,05/02/2020,09/02/2020,4,Aceito,,,5
0144,Sofá,05/02/2020,09/02/2020,4,Aceito,,,5
0145,Luminária,06/02/2020,09/02/2020,3,Aceito,,,5
0146,Luminária,06/02/2020,10/02/2020,4,Aceito,,,5
0147,Quadro decorativo,07/02/2020,14/02/2020,7,Aceito,,,3
0148,Quadro decorativo,07/02/2020,11/02/2020,4,Aceito,,,2
0149,Quadro decorativo,07/02/2020,09/02/2020,2,Rejeitado,Não conformidade,2,2
0150,Tapete,07/02/2020,09/02/2020,2,Aceito,,,5
0151,Cama,08/02/2020,13/02/2020,5,Rejeitado,Insatisfação com Qualidade,5,5
0152,Cama,08/02/2020,11/02/2020,3,Rejeitado,Defeito no produto,3,5
0153,Sofá,08/02/2020,14/02/2020,6,Rejeitado,Defeito no produto,1,2
0154,Sofá,08/02/2020,12/02/2020,4,Aceito,,,3
0155,Cama,08/02/2020,14/02/2020,6,Aceito,,,5
0156,Cadeira de escritório,09/02/2020,12/02/2020,3,Aceito,,,3
0157,Quadro decorativo,09/02/2020,11/02/2020,2,Aceito,,,3
0158,Cama,10/02/2020,13/02/2020,3,Aceito,,,5
0159,Tapete,11/02/2020,16/02/2020,5,Aceito,,,3
0160,Sofá,11/02/2020,16/02/2020,5,Aceito,,,3
0161,Cortina,12/02/2020,17/02/2020,5,Aceito,,,3
0162,Luminária,12/02/2020,15/02/2020,3,Rejeitado,Danificado durante o transporte,1,3
0163,Quadro decorativo,12/02/2020,16/02/2020,4,Rejeitado,Danificado durante o transporte,1,2
0164,Mesa de jantar,12/02/2020,17/02/2020,5,Aceito,,,3
0165,Luminária,12/02/2020,14/02/2020,2,Rejeitado,Danificado durante o transporte,3,3
0166,Armário,14/02/2020,17/02/2020,3,Rejeitado,Defeito no produto,4,2
0167,Cadeira de escritório,14/02/2020,18/02/2020,4,Aceito,,,5
0168,Armário,14/02/2020,18/02/2020,4,Aceito,,,5
0169,Cortina,14/02/2020,19/02/2020,5,Aceito,,,5
0170,Mesa de jantar,15/02/2020,20/02/2020,5,Aceito,,,2
0171,Luminária,16/02/2020,18/02/2020,2,Aceito,,,3
0172,Luminária,16/02/2020,19/02/2020,3,Aceito,,,5
0173,Tapete,16/02/2020,19/02/2020,3,Aceito,,,5
0174,Cortina,17/02/2020,25/02/2020,8,Aceito,,,3
0175,Armário,18/02/2020,24/02/2020,6,Aceito,,,5
0176,Sofá,18/02/2020,22/02/2020,4,Aceito,,,5
0177,Estante,18/02/2020,21/02/2020,3,Aceito,,,5
0178,Quadro decorativo,18/02/2020,24/02/2020,6,Aceito,,,3
0179,Cama,19/02/2020,23/02/2020,4,Aceito,,,5
0180,Armário,19/02/2020,23/02/2020,4,Aceito,,,3
0181,Cama,20/02/2020,24/02/2020,4,Aceito,,,5
0182,Cortina,20/02/2020,26/02/2020,6,Aceito,,,3
0183,Cama,21/02/2020,24/02/2020,3,Rejeitado,Insatisfação com Qualidade,4,4
0184,Tapete,21/02/2020,23/02/2020,2,Aceito,,,5
0185,Estante,21/02/2020,26/02/2020,5,Aceito,,,3
0186,Tapete,22/02/2020,24/02/2020,2,Aceito,,,4
0187,Sofá,22/02/2020,27/02/2020,5,Rejeitado,Defeito no produto,2,1
0188,Armário,22/02/2020,26/02/2020,4,Aceito,,,5
0189,Estante,22/02/2020,25/02/2020,3,Aceito,,,5
0190,Tapete,23/02/2020,26/02/2020,3,Rejeitado,Insatisfação com Qualidade,4,2
0191,Tapete,24/02/2020,28/02/2020,4,Aceito,,,5
0192,Quadro decorativo,24/02/2020,26/02/2020,2,Aceito,,,5
0193,Armário,25/02/2020,27/02/2020,2,Rejeitado,Danificado durante o transporte,3,1
0194,Luminária,25/02/2020,29/02/2020,4,Aceito,,,3
0195,Sofá,25/02/2020,29/02/2020,4,Aceito,,,4
0196,Mesa de jantar,25/02/2020,29/02/2020,4,Aceito,,,2
0197,Luminária,25/02/2020,29/02/2020,4,Aceito,,,4
0198,Cama,25/02/2020,28/02/2020,3,Aceito,,,4
0199,Armário,25/02/2020,28/02/2020,3,Aceito,,,5
0200,Tapete,26/02/2020,01/03/2020,4,Rejeitado,Não conformidade,6,2
0201,Cama,26/02/2020,29/02/2020,3,Aceito,,,5
0202,Armário,26/02/2020,28/02/2020,2,Aceito,,,5
0203,Estante,27/02/2020,02/03/2020,4,Aceito,,,3
0204,Quadro decorativo,27/02/2020,04/03/2020,6,Rejeitado,Insatisfação com Qualidade,1,2
0205,Cadeira de escritório,27/02/2020,02/03/2020,4,Rejeitado,Danificado durante o transporte,1,2
0206,Estante,27/02/2020,29/02/2020,2,Rejeitado,Defeito no produto,3,2
0207,Quadro decorativo,28/02/2020,01/03/2020,2,Aceito,,,5
0208,Estante,28/02/2020,02/03/2020,3,Aceito,,,5
0209,Cama,28/02/2020,01/03/2020,2,Rejeitado,Danificado durante o transporte,6,4
0210,Sofá,28/02/2020,03/03/2020,4,Aceito,,,4
0211,Cama,28/02/2020,02/03/2020,3,Rejeitado,Defeito no produto,1,4
0212,Estante,29/02/2020,08/03/2020,8,Aceito,,,3
0213,Luminária,29/02/2020,02/03/2020,2,Aceito,,,4
0214,Sofá,29/02/2020,03/03/2020,3,Aceito,,,4
0215,Sofá,01/03/2020,08/03/2020,7,Aceito,,,3
0216,Mesa de jantar,02/03/2020,05/03/2020,3,Aceito,,,3
0217,Tapete,02/03/2020,06/03/2020,4,Aceito,,,4
0218,Mesa de jantar,03/03/2020,06/03/2020,3,Aceito,,,4
0219,Tapete,03/03/2020,08/03/2020,5,Rejeitado,Insatisfação com Qualidade,5,2
0220,Cortina,03/03/2020,09/03/2020,6,Aceito,,,3
0221,Quadro decorativo,03/03/2020,05/03/2020,2,Aceito,,,5
0222,Luminária,03/03/2020,06/03/2020,3,Aceito,,,4
0223,Armário,04/03/2020,08/03/2020,4,Aceito,,,4
0224,Cadeira de escritório,04/03/2020,05/03/2020,1,Aceito,,,5
0225,Tapete,04/03/2020,11/03/2020,7,Aceito,,,3
0226,Cadeira de escritório,04/03/2020,08/03/2020,4,Aceito,,,5
0227,Quadro decorativo,05/03/2020,09/03/2020,4,Rejeitado,Defeito no produto,1,2
0228,Tapete,05/03/2020,07/03/2020,2,Aceito,,,5
0229,Cortina,06/03/2020,08/03/2020,2,Aceito,,,4
0230,Estante,06/03/2020,12/03/2020,6,Aceito,,,3
0231,Cama,07/03/2020,09/03/2020,2,Aceito,,,4
0232,Luminária,07/03/2020,10/03/2020,3,Rejeitado,Defeito no produto,1,3
0233,Luminária,07/03/2020,08/03/2020,1,Aceito,,,5
0234,Mesa de jantar,08/03/2020,11/03/2020,3,Aceito,,,5
0235,Armário,09/03/2020,11/03/2020,2,Rejeitado,Danificado durante o transporte,5,2
0236,Luminária,10/03/2020,13/03/2020,3,Rejeitado,Não conformidade,2,3
0237,Cadeira de escritório,10/03/2020,14/03/2020,4,Aceito,,,5
0238,Quadro decorativo,10/03/2020,14/03/2020,4,Rejeitado,Insatisfação com Qualidade,4,1
0239,Armário,11/03/2020,18/03/2020,7,Aceito,,,3
0240,Quadro decorativo,11/03/2020,17/03/2020,6,Rejeitado,Danificado durante o transporte,1,1
0241,Estante,11/03/2020,14/03/2020,3,Aceito,,,5
0242,Sofá,11/03/2020,14/03/2020,3,Rejeitado,Danificado durante o transporte,2,2
0243,Luminária,12/03/2020,16/03/2020,4,Aceito,,,4
0244,Estante,12/03/2020,15/03/2020,3,Aceito,,,5
0245,Quadro decorativo,13/03/2020,18/03/2020,5,Rejeitado,Danificado durante o transporte,5,1
0246,Mesa de jantar,13/03/2020,16/03/2020,3,Aceito,,,5
0247,Quadro decorativo,13/03/2020,16/03/2020,3,Aceito,,,5
0248,Cama,13/03/2020,17/03/2020,4,Rejeitado,Defeito no produto,2,4
0249,Quadro decorativo,13/03/2020,15/03/2020,2,Rejeitado,Danificado durante o transporte,5,1
0250,Armário,13/03/2020,14/03/2020,1,Aceito,,,5
0251,Sofá,14/03/2020,18/03/2020,4,Rejeitado,Defeito no produto,1,2
0252,Estante,14/03/2020,20/03/2020,6,Aceito,,,3
0253,Tapete,14/03/2020,17/03/2020,3,Aceito,,,5
0254,Luminária,14/03/2020,16/03/2020,2,Rejeitado,Danificado durante o transporte,4,3
0255,Cadeira de escritório,14/03/2020,18/03/2020,4,Aceito,,,5
0256,Sofá,14/03/2020,18/03/2020,4,Aceito,,,3
0257,Quadro decorativo,15/03/2020,23/03/2020,8,Rejeitado,Defeito no produto,4,2
0258,Cortina,16/03/2020,23/03/2020,7,Aceito,,,3
0259,Sofá,17/03/2020,20/03/2020,3,Aceito,,,5
0260,Cadeira de escritório,18/03/2020,23/03/2020,5,Aceito,,,3
0261,Cortina,18/03/2020,19/03/2020,1,Aceito,,,5
0262,Estante,19/03/2020,23/03/2020,4,Aceito,,,5
0263,Luminária,20/03/2020,23/03/2020,3,Aceito,,,4
0264,Tapete,20/03/2020,22/03/2020,2,Rejeitado,Danificado durante o transporte,6,1
0265,Quadro decorativo,20/03/2020,25/03/2020,5,Aceito,,,2
0266,Quadro decorativo,21/03/2020,24/03/2020,3,Rejeitado,Não conformidade,3,2
0267,Sofá,21/03/2020,24/03/2020,3,Aceito,,,4
0268,Estante,21/03/2020,25/03/2020,4,Aceito,,,5
0269,Cama,21/03/2020,24/03/2020,3,Aceito,,,3
0270,Armário,21/03/2020,26/03/2020,5,Aceito,,,3
0271,Tapete,21/03/2020,25/03/2020,4,Aceito,,,3
0272,Luminária,22/03/2020,27/03/2020,5,Rejeitado,Não conformidade,2,3
0273,Armário,23/03/2020,24/03/2020,1,Aceito,,,5
0274,Luminária,23/03/2020,26/03/2020,3,Rejeitado,Danificado durante o transporte,5,3
0275,Tapete,23/03/2020,31/03/2020,8,Aceito,,,3
0276,Quadro decorativo,24/03/2020,01/04/2020,8,Rejeitado,Não conformidade,3,2
0277,Tapete,24/03/2020,29/03/2020,5,Aceito,,,3
0278,Estante,24/03/2020,28/03/2020,4,Aceito,,,5
0279,Cortina,24/03/2020,28/03/2020,4,Rejeitado,Insatisfação com Qualidade,5,4
0280,Sofá,24/03/2020,27/03/2020,3,Aceito,,,4
0281,Estante,24/03/2020,27/03/2020,3,Aceito,,,3
0282,Mesa de jantar,25/03/2020,29/03/2020,4,Aceito,,,2
0283,Quadro decorativo,26/03/2020,03/04/2020,8,Aceito,,,2
0284,Quadro decorativo,26/03/2020,29/03/2020,3,Aceito,,,4
0285,Luminária,26/03/2020,29/03/2020,3,Aceito,,,4
0286,Cortina,27/03/2020,31/03/2020,4,Aceito,,,5
0287,Cama,27/03/2020,03/04/2020,7,Rejeitado,Danificado durante o transporte,6,4
0288,Quadro decorativo,27/03/2020,30/03/2020,3,Rejeitado,Defeito no produto,1,1
0289,Mesa de jantar,27/03/2020,30/03/2020,3,Aceito,,,5
0290,Cama,27/03/2020,02/04/2020,6,Aceito,,,3
0291,Cadeira de escritório,27/03/2020,29/03/2020,2,Aceito,,,5
0292,Cortina,28/03/2020,30/03/2020,2,Aceito,,,5
0293,Sofá,28/03/2020,31/03/2020,3,Rejeitado,Danificado durante o transporte,1,1
0294,Tapete,28/03/2020,30/03/2020,2,Aceito,,,3
0295,Cama,29/03/2020,04/04/2020,6,Aceito,,,4
0296,Mesa de jantar,29/03/2020,02/04/2020,4,Aceito,,,2
0297,Estante,29/03/2020,03/04/2020,5,Rejeitado,Danificado durante o transporte,3,1
0298,Luminária,29/03/2020,31/03/2020,2,Aceito,,,5
0299,Estante,29/03/2020,01/04/2020,3,Aceito,,,5
0300,Cama,29/03/2020,02/04/2020,4,Aceito,,,3
0301,Estante,29/03/2020,04/04/2020,6,Aceito,,,3
0302,Armário,30/03/2020,03/04/2020,4,Aceito,,,4
0303,Sofá,30/03/2020,06/04/2020,7,Rejeitado,Insatisfação com Qualidade,4,2
0304,Cama,30/03/2020,02/04/2020,3,Aceito,,,5
0305,Tapete,31/03/2020,04/04/2020,4,Aceito,,,3
0306,Luminária,31/03/2020,02/04/2020,2,Aceito,,,5
0307,Mesa de jantar,31/03/2020,04/04/2020,4,Aceito,,,2
0308,Cama,31/03/2020,04/04/2020,4,Aceito,,,5
0309,Estante,31/03/2020,03/04/2020,3,Rejeitado,Insatisfação com Qualidade,2,2
0310,Cortina,01/04/2020,04/04/2020,3,Rejeitado,Danificado durante o transporte,6,4
0311,Cadeira de escritório,01/04/2020,09/04/2020,8,Aceito,,,3
0312,Cama,01/04/2020,05/04/2020,4,Aceito,,,5
0313,Armário,01/04/2020,05/04/2020,4,Aceito,,,4
0314,Mesa de jantar,01/04/2020,05/04/2020,4,Rejeitado,Danificado durante o transporte,5,1
0315,Cadeira de escritório,01/04/2020,03/04/2020,2,Aceito,,,5
0316,Tapete,02/04/2020,05/04/2020,3,Aceito,,,5
0317,Estante,02/04/2020,06/04/2020,4,Aceito,,,4
0318,Armário,02/04/2020,06/04/2020,4,Aceito,,,3
0319,Cadeira de escritório,02/04/2020,03/04/2020,1,Aceito,,,3
0320,Cortina,02/04/2020,05/04/2020,3,Aceito,,,5
0321,Cadeira de escritório,02/04/2020,03/04/2020,1,Rejeitado,Defeito no produto,3,2
0322,Quadro decorativo,02/04/2020,04/04/2020,2,Aceito,,,5
0323,Cortina,02/04/2020,05/04/2020,3,Aceito,,,5
0324,Cadeira de escritório,02/04/2020,03/04/2020,1,Rejeitado,Defeito no produto,1,1
0325,Tapete,03/04/2020,10/04/2020,7,Aceito,,,3
0326,Quadro decorativo,03/04/2020,10/04/2020,7,Aceito,,,3
0327,Estante,03/04/2020,07/04/2020,4,Rejeitado,Danificado durante o transporte,6,1
0328,Estante,03/04/2020,06/04/2020,3,Aceito,,,5
0329,Quadro decorativo,03/04/2020,06/04/2020,3,Aceito,,,5
0330,Luminária,03/04/2020,04/04/2020,1,Aceito,,,5
0331,Cama,03/04/2020,06/04/2020,3,Aceito,,,5
0332,Cortina,03/04/2020,07/04/2020,4,Aceito,,,5
0333,Estante,04/04/2020,08/04/2020,4,Aceito,,,4
0334,Sofá,04/04/2020,08/04/2020,4,Aceito,,,5
0335,Estante,05/04/2020,09/04/2020,4,Aceito,,,5
0336,Sofá,05/04/2020,11/04/2020,6,Aceito,,,3
0337,Luminária,05/04/2020,09/04/2020,4,Aceito,,,5
0338,Estante,06/04/2020,08/04/2020,2,Aceito,,,4
0339,Luminária,07/04/2020,10/04/2020,3,Rejeitado,Danificado durante o transporte,6,3
0340,Luminária,07/04/2020,09/04/2020,2,Aceito,,,4
0341,Estante,07/04/2020,11/04/2020,4,Rejeitado,Danificado durante o transporte,2,1
0342,Quadro decorativo,08/04/2020,11/04/2020,3,Rejeitado,Defeito no produto,1,2
0343,Armário,08/04/2020,12/04/2020,4,Rejeitado,Danificado durante o transporte,1,2
0344,Sofá,09/04/2020,15/04/2020,6,Aceito,,,3
0345,Luminária,09/04/2020,13/04/2020,4,Aceito,,,4
0346,Cortina,09/04/2020,13/04/2020,4,Aceito,,,5
0347,Cortina,09/04/2020,13/04/2020,4,Aceito,,,5
0348,Luminária,10/04/2020,16/04/2020,6,Rejeitado,Danificado durante o transporte,5,3
0349,Cama,10/04/2020,14/04/2020,4,Aceito,,,5
0350,Cortina,10/04/2020,13/04/2020,3,Rejeitado,Danificado durante o transporte,5,5
0351,Quadro decorativo,11/04/2020,15/04/2020,4,Aceito,,,3
0352,Luminária,11/04/2020,14/04/2020,3,Aceito,,,5
0353,Mesa de jantar,11/04/2020,15/04/2020,4,Rejeitado,Não conformidade,4,2
0354,Cortina,11/04/2020,14/04/2020,3,Aceito,,,3
0355,Luminária,11/04/2020,13/04/2020,2,Aceito,,,5
0356,Estante,12/04/2020,17/04/2020,5,Rejeitado,Insatisfação com Qualidade,1,1
0357,Cortina,12/04/2020,15/04/2020,3,Rejeitado,Insatisfação com Qualidade,1,5
0358,Luminária,12/04/2020,16/04/2020,4,Aceito,,,5
0359,Estante,12/04/2020,16/04/2020,4,Aceito,,,5
0360,Cama,13/04/2020,17/04/2020,4,Aceito,,,5
0361,Sofá,13/04/2020,18/04/2020,5,Rejeitado,Insatisfação com Qualidade,2,2
0362,Tapete,14/04/2020,18/04/2020,4,Aceito,,,3
0363,Quadro decorativo,14/04/2020,16/04/2020,2,Rejeitado,Danificado durante o transporte,4,2
0364,Mesa de jantar,14/04/2020,16/04/2020,2,Aceito,,,5
0365,Luminária,15/04/2020,17/04/2020,2,Rejeitado,Insatisfação com Qualidade,1,3
0366,Luminária,15/04/2020,17/04/2020,2,Aceito,,,5
0367,Armário,16/04/2020,20/04/2020,4,Aceito,,,5
0368,Sofá,16/04/2020,20/04/2020,4,Aceito,,,5
0369,Sofá,17/04/2020,22/04/2020,5,Aceito,,,3
0370,Armário,17/04/2020,22/04/2020,5,Aceito,,,3
0371,Estante,17/04/2020,21/04/2020,4,Rejeitado,Defeito no produto,2,1
0372,Armário,17/04/2020,20/04/2020,3,Aceito,,,5
